@relation InstanceResultListener

@attribute Key_Dataset {dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0,dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.supervised.instance.SpreadSubsample-M0.0-X0.0-S1-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.rules.DecisionTable,weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',''}
@attribute Key_Scheme_version_ID {-217733168393644444,2888557078165701326,-3080186098777067172,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 18388\nSize of the tree: 18409\n','Number of leaves: 16783\nSize of the tree: 16801\n','Number of leaves: 16248\nSize of the tree: 16265\n','Number of leaves: 17318\nSize of the tree: 17337\n','Number of leaves: 17848\nSize of the tree: 17867\n','Number of leaves: 17853\nSize of the tree: 17873\n','Number of leaves: 17313\nSize of the tree: 17331\n','Number of leaves: 19453\nSize of the tree: 19475\n','Number of leaves: 15713\nSize of the tree: 15729\n','Number of leaves: 18383\nSize of the tree: 18403\n','Number of leaves: 15178\nSize of the tree: 15193\n','Number of leaves: 18923\nSize of the tree: 18945\n','Number of leaves: 18918\nSize of the tree: 18939\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.111,0.009,0.109201,0.0156,109.2007,15.6001,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.033,0.002,0.0312,0,31.2002,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.035,0.001,0.0312,0,31.2002,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.038,0.002,0.0468,0,46.8003,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.034,0.001,0.0312,0,31.2002,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.043,0.001,0.0156,0,15.6001,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,805,209,0,79.38856,20.61144,0,0,0.22782,0.33745,99.968755,99.999984,901.332482,901.331865,0.000617,0.888888,0.888887,0.000001,0.199076,0.000196,0.022087,1,805,1,209,0,0,0,0,0.793886,1,0.885102,?,0.5,0.793886,0.793886,0.793886,0.206114,0.206114,?,0.793886,?,?,0.5,0.658382,?,0.793886,0.033,0,0.0312,0,31.2002,0,1377832,3465763,1608573,95.56213,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9124,1014,804,210,0,79.289941,20.710059,0,0,0.228258,0.338179,99.968878,100.000063,905.489092,905.492205,-0.003114,0.892987,0.89299,-0.000003,0.198678,0.000196,0.021941,1,804,1,210,0,0,0,0,0.792899,1,0.884488,?,0.5,0.792899,0.792899,0.792899,0.207101,0.207101,?,0.792899,?,?,0.5,0.656906,?,0.792899,0.03,0,0.0312,0,31.2002,0,1377832,3465763,1608573,95.463511,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
dataset4with3classes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191205.2148,9125,1013,804,209,0,79.368213,20.631787,0,0,0.227899,0.337582,99.968781,99.999998,900.99891,900.998599,0.000311,0.889436,0.889436,0,0.198782,0.000196,0.022062,1,804,1,209,0,0,0,0,0.793682,1,0.884975,?,0.5,0.793682,0.793682,0.793682,0.206318,0.206318,?,0.793682,?,?,0.5,0.658115,?,0.793682,0.041,0.001,0.0156,0,15.6001,0,1377832,3465992,1608344,95.557749,66.666667,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
